date,total_value,cash,positions_value,returns,returns_pct,benchmark_price,benchmark_value,benchmark_returns_pct,excess_returns_pct,daily_returns
2025-02-20 15:00:00,99382.44,1438.4400000000023,97944.0,-617.5599999999977,-0.6175599999999948,3928.9,100000.0,0.0,-0.6175599999999948,
2025-02-21 15:00:00,99214.44,1438.4400000000023,97776.0,-785.5599999999977,-0.7855599999999963,3978.44,101260.9127236631,1.2609127236631101,-2.0464727236631064,-0.0016904394780405951
2025-02-24 15:00:00,98794.44,1438.4400000000023,97356.0,-1205.5599999999977,-1.2055599999999944,3969.72,101038.96764997837,1.0389676499783729,-2.2445276499783673,-0.004233254756061733
2025-02-25 15:00:00,97786.44,1438.4400000000023,96348.0,-2213.5599999999977,-2.213559999999992,3925.65,99917.27964570235,-0.08272035429764957,-2.1308396457023426,-0.010203003326907822
2025-02-26 15:00:00,98206.44,1438.4400000000023,96768.0,-1793.5599999999977,-1.793559999999994,3959.94,100790.04301458423,0.7900430145842297,-2.5836030145842237,0.00429507404094065
2025-02-27 15:00:00,99046.44,1438.4400000000023,97608.0,-953.5599999999977,-0.9535599999999977,3968.12,100998.24378324722,0.9982437832472213,-1.951803783247219,0.008553410550265372
2025-02-28 15:00:00,98290.44,1438.4400000000023,96852.0,-1709.5599999999977,-1.7095599999999989,3890.05,99011.17361093436,-0.9888263890656335,-0.7207336109343654,-0.007632783167168866
2025-03-03 15:00:00,98122.44,1438.4400000000023,96684.0,-1877.5599999999977,-1.8775600000000003,3888.47,98970.95879253735,-1.0290412074626554,-0.848518792537345,-0.0017092201438919652
2025-03-04 15:00:00,97577.3,97577.3,0.0,-2422.699999999997,-2.4227,3885.22,98888.23843823971,-1.1117615617602827,-1.3109384382397171,-0.005555711822902043
2025-03-05 15:00:00,97577.3,97577.3,0.0,-2422.699999999997,-2.4227,3902.57,99329.83786810558,-0.6701621318944251,-1.7525378681055748,0.0
2025-03-06 15:00:00,97466.67,2100.6699999999983,95366.0,-2533.3300000000017,-2.5333300000000003,3956.24,100695.86907276846,0.6958690727684624,-3.2291990727684627,-0.00113376779230423
2025-03-07 15:00:00,97794.67,2100.6699999999983,95694.0,-2205.3300000000017,-2.2053300000000053,3944.01,100384.58601644226,0.38458601644226764,-2.589916016442273,0.0033652529628847017
2025-03-10 15:00:00,97138.67,2100.6699999999983,95038.0,-2861.3300000000017,-2.8613300000000064,3928.8,99997.4547583293,-0.0025452416706928105,-2.8587847583293136,-0.006707932037604891
2025-03-11 15:00:00,97302.67,2100.6699999999983,95202.0,-2697.3300000000017,-2.697329999999998,3941.42,100318.66425717121,0.3186642571712195,-3.0159942571712173,0.0016883080651608484
2025-03-12 15:00:00,99270.67,2100.6699999999983,97170.0,-729.3300000000017,-0.7293300000000058,3927.23,99957.49446409936,-0.04250553590063877,-0.686824464099367,0.02022554982304192
2025-03-13 15:00:00,99188.67,2100.6699999999983,97088.0,-811.3300000000017,-0.811329999999999,3911.58,99559.16414263535,-0.44083585736465203,-0.37049414263534697,-0.0008260244440779774
2025-03-14 15:00:00,100254.67,2100.6699999999983,98154.0,254.66999999999825,0.2546699999999902,4006.56,101976.63468146301,1.9766346814630076,-1.7219646814630174,0.010747195218970163
2025-03-17 15:00:00,96400.67,2100.6699999999983,94300.0,-3599.3300000000017,-3.5993300000000006,3996.79,101727.96457023594,1.7279645702359403,-5.32729457023594,-0.038442099505190175
2025-03-18 15:00:00,96318.67,2100.6699999999983,94218.0,-3681.3300000000017,-3.681330000000005,4007.72,102006.15948484308,2.006159484843084,-5.6874894848430895,-0.0008506164946778805
2025-03-19 15:00:00,96564.67,2100.6699999999983,94464.0,-3435.3300000000017,-3.435330000000003,4010.17,102068.51790577515,2.068517905775158,-5.503847905775161,0.002554021977255294
2025-03-20 15:00:00,96318.67,2100.6699999999983,94218.0,-3681.3300000000017,-3.681330000000005,3974.99,101173.10188602407,1.1731018860240638,-4.854431886024068,-0.002547515566511005
2025-03-21 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3914.7,99638.57568276107,-0.3614243172389231,-3.3604956827610777,-0.0004214136262470358
2025-03-24 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3934.85,100151.44187940644,0.15144187940643317,-3.873361879406434,0.0
2025-03-25 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3932.3,100086.53821680369,0.08653821680368878,-3.8084582168036896,0.0
2025-03-26 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3919.36,99757.18394461554,-0.24281605538446493,-3.479103944615536,0.0
2025-03-27 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3932.41,100089.33798264145,0.08933798264143533,-3.811257982641436,0.0
2025-03-28 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3915.17,99650.53831861335,-0.34946168138664246,-3.3724583186133583,0.0
2025-03-31 15:00:00,96278.08,96278.08,0.0,-3721.9199999999983,-3.721920000000001,3887.31,98941.43398915727,-1.0585660108427208,-2.66335398915728,0.0
